model,MAE,RMSE,sMAPE,MASE,coverage,PI_width,Winkler,NV_cost(3:1),QLoss,CRPS,energy,skill_vs_naive_%,DM_p_vs_naive,sig
chronos,1.6833557265936607,2.201919749270805,2.036639701648066,0.7600443511656387,0.9427083333333334,8.502665519714355,9.926389859067262,4.077867079036491,,1.9841300004734634,22.384725576925703,29.98109478897739,2.2557355983110483e-10,***
patchtst,1.8449352921083237,2.3068770789197415,2.2464993093588097,0.8329984119699608,0.8177083333333334,6.4211578369140625,11.217613899466253,3.9283986895045984,0.5515272298336404,,,23.260219276406445,6.9683723551428045e-06,***
tft,1.8598378877462476,2.423396089879925,2.243477884432796,0.8397270157067537,0.8020833333333334,6.421501159667969,11.468451328692359,4.304727046483265,0.5637836736896265,,,22.640348256344932,3.173858214311487e-05,***
seasonal_naive,2.404144597120409,2.9772127063166822,2.928802424901039,1.0854844829050396,0.8854166666666666,9.447737296891052,11.88312714819609,6.113742996651887,,,,0.0,,—
deepar,2.9565540083586392,3.6827377804341106,3.6440382428587874,1.3349003644739035,0.734375,8.384493827819824,16.46065956898927,7.952428100841289,,2.8355224613343744,36.7151641226297,-22.97737881073727,0.0005472319728925257,***
conformal(tide),4.504319046946944,5.261776683326187,5.55054473519299,2.0337247756939494,0.6302083333333334,10.696904182434082,24.605344873572914,12.172847194169329,,,,-87.35641160444516,0.0,***
lightgbm,4.594686121992423,5.6353195860555445,5.578516403362919,2.0745260061377726,0.22916666666666666,4.288911244395275,54.497209383988036,13.478583507090832,,,,-91.11521526183404,0.0,***
