level,n_series,MAE_base,MAE_recon,delta_%
TOP,1,10.81136185439545,10.811361854395393,5.218048215738236e-13
L1,3,6.650768722995381,8.784174576243322,-32.07758293972211
L2,9,4.081846639997547,6.479948859833796,-58.75042428927928
BOTTOM,36,1.9806130524152252,3.8212184770003113,-92.93109637647751
