level,n_series,MAE_base,MAE_recon,delta_%
TOP,1,10.81136185439545,10.518070879920726,2.7128032381552702
L1,3,6.650768722995381,6.415366565176354,3.539472918447928
L2,9,4.081846639997547,3.754514625184106,8.019213941208669
BOTTOM,36,1.9806130524152252,1.9640118006486984,0.8381875372518
