level,n_series,MAE_base,MAE_recon,delta_%
TOP,1,10.81136185439545,10.45386543575971,3.3066733261767345
L1,3,6.650768722995381,6.536994287043164,1.7106960216318412
L2,9,4.081846639997547,3.83588356840487,6.025779341695814
BOTTOM,36,1.9806130524152252,1.9751497245324123,0.2758402443198471
