level,n_series,MAE_base,MAE_recon,delta_%
TOP,1,10.811361854395452,10.692589371531769,1.0985894697012166
L1,3,6.650768722995382,6.43900334654398,3.1840736803734004
L2,9,4.081846639997547,3.7682805265480086,7.6819670385687715
BOTTOM,36,1.9806130524152252,1.966041615518194,0.7357033661503198
