model,nominal,empirical,mean_width
seasonal_naive,0.9,0.8854166666666666,9.447737296891052
arima,0.9,0.9635416666666666,9.45765097207029
prophet,0.9,0.9114583333333334,7.53272113559616
lightgbm,0.9,0.515625,7.788367461632146
nbeats,0.9,0.3125,1.9638900319735209
deepar,0.9,0.7135416666666666,8.093644962708153
tft,0.9,0.859375,6.6993231773376465
