model,MAE,RMSE,sMAPE,MASE,coverage,PI_width,Winkler,NV_cost(3:1),CRPS,energy,QLoss,skill_vs_naive_%,DM_p_vs_naive,sig
prophet,1.7974427583406583,2.2310515105714437,2.176429729040754,0.811555272268467,0.90625,7.544794160920408,9.359136134400645,3.3502186871840203,,,,25.235663425005082,1.8552115614411946e-05,***
tft,1.8295201834423136,2.3256052352825325,2.230936366289558,0.8260384057875994,0.84375,6.5885009765625,9.99286704178145,4.322569537108898,,,0.5248720079540962,23.901408191768425,2.8418320567880073e-06,***
arima,1.8744853094565752,2.365561960784174,2.26731774610605,0.8463404070144858,0.9635416666666666,9.462274749241697,10.123346154314126,4.1605841865299915,,,,22.031091153928063,5.943606503611143e-05,***
nbeats,1.9102733522806143,2.4261457730314775,2.3102737839988787,0.8624989048043297,0.3489583333333333,1.9595839798450472,24.220520074391004,3.887807777225889,1.8117033192677647,28.75506926850837,,20.542493385436742,7.193353858103713e-05,***
seasonal_naive,2.404144597120409,2.9772127063166822,2.928802424901039,1.0854844829050396,0.8854166666666666,9.447737296891052,11.88312714819609,6.113742996651887,,,,0.0,,—
deepar,3.1470436516173117,3.8316393883847835,3.880372458828963,1.4209074840785523,0.7083333333333334,8.207668818036714,17.17972940539865,8.879860545419342,2.9865993806547944,38.67894663024754,,-30.900764262961466,6.5863232308061015e-06,***
lightgbm,4.53761086764857,5.594544463019796,5.509045017647812,2.0487562154927685,0.203125,4.293695964714872,53.42565335618036,13.3276929733631,,,,-88.74117942338175,0.0,***
