model,MAE,RMSE,sMAPE,MASE,coverage,PI_width,Winkler,NV_cost(3:1),CRPS,energy,skill_vs_naive_%,DM_p_vs_naive,sig
aci(arima),1.7830273424062735,2.258620376675131,2.1845358386077374,0.7773413089854733,0.9958333333333333,17.969046465111465,17.988272011930732,3.858354336615707,,,20.706520540726203,3.29156630165528e-05,***
enbpi(prophet),1.8599450772300423,2.3233505391590286,2.2822424922152424,0.810874912901729,1.0,19.099314586739084,19.099314586739084,3.4699971237935796,,,17.285891657900766,0.002463257425257659,***
conformal(nbeats),2.003778876982402,2.583752487331973,2.4335700020504416,0.873581721438363,0.8333333333333334,6.9516496658325195,11.161264374324492,3.8797080628547786,1.8982562083934813,34.33691788758087,10.889420793454363,0.06436308121229284,*
seasonal_naive,2.248643084608313,2.8118392950687374,2.7782370163744066,0.9803344667006652,0.9041666666666667,9.418828543558874,11.375905861025327,5.652916177475671,,,0.0,,—
lightgbm,4.349434653484914,5.285682922890972,5.374593034703377,1.8962105327694752,0.275,4.226720564861007,46.34663854044969,12.525200439369245,,,-93.42485622801865,0.0,***
