model,nominal,empirical,mean_width
seasonal_naive,0.9,0.8489583333333334,7.538947928021194
croston,0.9,1.0,99.90058247167356
tsb,0.9,1.0,99.91839354685538
adida,0.9,1.0,99.91815011657371
lightgbm,0.9,0.3229166666666667,5.067535919628704
