model,MAE,RMSE,sMAPE,MASE,coverage,PI_width,Winkler,NV_cost(3:1),CRPS,energy,skill_vs_naive_%,DM_p_vs_naive,sig
aci(arima),1.7749133814863396,2.2512175311768514,2.1745527466562846,0.7738038887493671,0.9958333333333333,17.99947750344103,18.017269773470694,3.831043590666518,,,21.067358637953504,2.444128864831363e-05,***
enbpi(prophet),1.8599450772300423,2.3233505391590286,2.2822424922152424,0.810874912901729,1.0,19.099314586739084,19.099314586739084,3.4699971237935796,,,17.285891657900766,0.002463257425257659,***
conformal(nbeats),2.032239774374882,2.6032700937698583,2.464049880289801,0.8859897371248273,0.8166666666666667,6.862116813659668,11.209490665197865,4.019168494165211,1.934337017984061,34.72150186634167,9.623728715094238,0.08661106131386065,*
seasonal_naive,2.248643084608313,2.8118392950687374,2.7782370163744066,0.9803344667006652,0.9041666666666667,9.418828543558874,11.375905861025327,5.652916177475671,,,0.0,,—
lightgbm,4.349434653484914,5.285682922890972,5.374593034703377,1.8962105327694752,0.275,4.226720564861007,46.34663854044969,12.525200439369245,,,-93.42485622801865,0.0,***
