model,MAE,RMSE,sMAPE,MASE,coverage,PI_width,Winkler,NV_cost(3:1),CRPS,energy,skill_vs_naive_%,DM_p_vs_naive,sig
nbeats,1.7677516198070233,2.2735380352109584,2.1293092546579904,0.7836992833202084,0.34375,1.963170959552129,21.85926230357448,3.7369439441477046,1.6750231096912263,26.663383802553078,26.470661460031675,1.0472141087625175e-07,***
prophet,1.7974427583406583,2.2310515105714437,2.176429729040754,0.7968622886480219,0.90625,7.5447557275474635,9.437077324649117,3.3502186871840203,,,25.235663425005082,1.8552115614411946e-05,***
arima,1.8744853094565752,2.365561960784174,2.26731774610605,0.8310176481556522,0.9635416666666666,9.462274749241697,10.123346154314126,4.1605841865299915,,,22.031091153928063,5.943606503611143e-05,***
seasonal_naive,2.404144597120409,2.9772127063166822,2.928802424901039,1.065832086731221,0.8854166666666666,9.447737296891052,11.88312714819609,6.113742996651887,,,0.0,,—
lightgbm,4.53761086764857,5.594544463019796,5.509045017647812,2.011664051169348,0.203125,4.293695964714872,53.42565335618036,13.3276929733631,,,-88.74117942338175,0.0,***
