model,MAE,RMSE,sMAPE,MASE,coverage,PI_width,Winkler,NV_cost(3:1),CRPS,energy,QLoss,skill_vs_naive_%,DM_p_vs_naive,sig
prophet,1.7974427583406583,2.2310515105714437,2.176429729040754,0.811555272268467,0.9114583333333334,7.528812798843565,9.508715017732007,3.3502186871840203,,,,25.235663425005082,1.8552115614411946e-05,***
nbeats,1.8036104892927867,2.311045002390617,2.178431737425009,0.8143400366504795,0.3645833333333333,1.967098593711853,22.393507957802523,3.620942258553599,1.7054333385742135,27.179303188248788,,24.979117668168506,1.1059670197433036e-06,***
tft,1.804590686460603,2.251112676188318,2.196590484508965,0.8147826010524403,0.84375,6.446346282958984,10.211320312750377,4.296789667278269,,,0.5329867495339641,24.938346527822354,9.360629151800026e-07,***
arima,1.8778012584170056,2.3686279079637678,2.271374564724061,0.8478375761726817,0.9635416666666666,9.47146000585697,10.132749186151836,4.168894144179377,,,,21.89316480106218,6.585399769076794e-05,***
seasonal_naive,2.404144597120409,2.9772127063166822,2.928802424901039,1.0854844829050396,0.8854166666666666,9.447737296891052,11.88312714819609,6.113742996651887,,,,0.0,,—
deepar,2.9554156341569375,3.6473300620602536,3.650800422071148,1.3343863822728468,0.7604166666666666,8.476005554199219,15.087608338205982,8.069066075834186,2.8293214128205033,36.04418668178482,,-22.93002832262332,0.0006827012261250154,***
lightgbm,3.4575654311608948,4.329227620138175,4.1970736897258725,1.561109772119939,0.5,6.301797061143865,30.515233548799035,9.237887294866823,,,,-43.81686672682801,2.269345866778849e-08,***
