model,MAE,RMSE,sMAPE,MASE,coverage,PI_width,Winkler,NV_cost(3:1),CRPS,energy,skill_vs_naive_%,DM_p_vs_naive,sig
aci(arima),1.7777248085468822,2.2538718444908783,2.1779491143419096,0.7750295785295418,0.9958333333333333,17.982219604026493,18.000341382597973,3.836451744303404,,,20.942330923249173,2.7324073737400312e-05,***
enbpi(prophet),1.8599450772300423,2.3233505391590286,2.2822424922152424,0.810874912901729,1.0,19.099314586739084,19.099314586739084,3.4699971237935796,,,17.285891657900766,0.002463257425257659,***
conformal(nbeats),2.0942679143463727,2.6643292984149545,2.535332311627819,0.9130319671415031,0.8,6.696369647979736,12.887733973309139,3.978300343261024,1.974109875416252,35.59915618068797,6.865258934093166,0.2452587105049373,
seasonal_naive,2.248643084608313,2.8118392950687374,2.7782370163744066,0.9803344667006652,0.9041666666666667,9.418828543558874,11.375905861025327,5.652916177475671,,,0.0,,—
lightgbm,4.349434653484914,5.285682922890972,5.374593034703377,1.8962105327694752,0.275,4.226720564861007,46.34663854044969,12.525200439369245,,,-93.42485622801865,0.0,***
